"IPAddress","Status","Host"
"10.0.0.20","Online","Unavailable"
"10.0.0.21","Offline",""
"10.0.0.22","Online","Unavailable"
"10.0.0.23","Offline",""
"10.0.0.24","Online","Unavailable"
"10.0.0.25","Offline",""
"10.0.0.26","Offline",""
"10.0.0.27","Offline",""
"10.0.0.28","Online","Unavailable"
"10.0.0.29","Offline",""
"10.0.0.30","Offline",""
"10.0.0.31","Online","BRN30055C0D05B9.lan"
"10.0.0.32","Offline",""
"10.0.0.33","Offline",""
"10.0.0.34","Offline",""
"10.0.0.35","Offline",""
"10.0.0.36","Offline",""
"10.0.0.37","Offline",""
"10.0.0.38","Offline",""
"10.0.0.39","Online","Wencel-PC.lan"
"10.0.0.40","Offline",""
"10.0.0.41","Offline",""
"10.0.0.42","Online","Unavailable"
"10.0.0.43","Offline",""
"10.0.0.44","Offline",""
"10.0.0.45","Offline",""
"10.0.0.46","Offline",""
"10.0.0.47","Offline",""
"10.0.0.48","Online","Unavailable"
"10.0.0.49","Online","Unavailable"
"10.0.0.50","Offline",""
"10.0.0.51","Online","Unavailable"
"10.0.0.52","Online","Unavailable"
"10.0.0.53","Online","TRIFORCE.lan"
"10.0.0.54","Online","Unavailable"
"10.0.0.55","Offline",""
"10.0.0.56","Offline",""
"10.0.0.57","Online","Unavailable"
"10.0.0.58","Online","Unavailable"
"10.0.0.59","Offline",""
"10.0.0.60","Offline",""
"10.0.0.61","Offline",""
"10.0.0.62","Online","Krissy-PC.lan"
"10.0.0.63","Offline",""
"10.0.0.64","Online","Unavailable"
"10.0.0.65","Online","Unavailable"
"10.0.0.66","Offline",""
"10.0.0.67","Online","Unavailable"
"10.0.0.68","Offline",""
"10.0.0.69","Offline",""
"10.0.0.70","Offline",""
